stop_name,stop_id,stop_lat,stop_lon
Ralja,7200401,44.568092,20.5613
Rasna,7200559,43.80798,20.024006
Ratare,7200417,44.368057,20.86659
Ratina,7200746,43.71317,20.752449
Ratkovo,7200796,45.448174,19.326946
Rača,7200569,43.62025,19.500927
Raška,7200181,43.29079,20.616678
Ražana,7200537,44.06061,19.908669
Resnik,7200167,44.704445,20.44842
Resnik Kragujevacki,7200712,44.110016,20.965082
Rgotina,7200333,44.007187,22.279604
Rgošte,7214012,43.551132,22.208275
Ribnica Zlatiborska,7200567,43.708103,19.573248
Ripanj,7200398,44.662334,20.506948
Ristanovića Polje,7200564,43.829124,19.74467
Rogljevo,7200348,44.11642,22.573555
Rudnica,7212113,43.237415,20.6808
Ruma,7200010,44.98938,19.826988
Rvati,7200722,43.32669,20.63706
Röszke,5501493,46.193996,20.03294
Samaila,7200748,43.777687,20.559471
Samari,7200536,44.123478,19.857883
Selačka Reka,7214017,43.70798,22.300667
Senta,7200769,45.92968,20.071686
Sevojno,7200539,43.83784,19.904398
Sikirica-Ratari,7200427,43.79177,21.422014
Sirča,7200718,43.72738,20.72595
Slovac,7200532,44.34717,20.093208
Smederevska Palanka,7200188,44.362843,20.959778
Sombor,7200218,45.786,19.11407
Sonta,7200771,45.599453,19.110613
Sopot Kosmajski,7200402,44.52376,20.611635
Sremska Mitrovica,7200011,44.982418,19.613642
Sremski Karlovci,7216806,45.207787,19.929893
Stalać,7200141,43.68223,21.41496
Stalać Grad,7200755,43.674377,21.404522
Stapari,7200541,43.845707,19.762316
Stara Pazova,7200174,44.98661,20.137444
Staro Selo,7200418,44.2944,21.089785
Staro Trubarevo,7200410,43.60997,21.48591
Stopanja,7200741,43.57715,21.153334
Subotica,7200012,46.101967,19.67134
Subotica javna skladišta,7200127,46.093704,19.693146
Subotica predgrađe,7200787,46.109165,19.638891
Supovački most,7200438,43.39632,21.766123
Sutomore,6294147,42.139725,19.050251
Sušica,7200542,43.788696,19.752884
Svetozar Miletić,7200774,45.843143,19.20983
Svrljig,7214007,43.4143,22.11811
Svrljiški Miljkovac,7214010,43.489304,22.134882
Szeged,5500101,46.239594,20.143318
Szentmihálytelek,5517665,46.222683,20.080439
Tabakovac,7200345,44.05764,22.414024
Tabakovačka Reka,7200383,44.067604,22.432077
Tamnič,7200384,44.0867,22.511284
Tavankut,7200777,46.04258,19.502983
Tešica,7200437,43.444336,21.736723
Timok,7214022,43.894165,22.29056
Tomaševac,7222202,45.24448,20.60811
Tominac stajalište,7200760,43.651745,20.881289
Tomića brdo,7200715,43.805058,20.787828
Tošin bunar,7216012,44.81635,20.397257
Trbusani,7200024,43.909996,20.31553
Tripkova,7200565,43.807278,19.742025
Trnavac,7200344,43.997417,22.327526
Trnjane,7200434,43.535717,21.633795
Trstenik,7200743,43.615013,20.997627
Trupale,7200475,43.357582,21.819073
Tubići,7200557,43.973003,19.95389
Uljma,7200660,45.051105,21.155546
Uzdin,7222201,45.202896,20.634216
Uzići,7200560,43.812145,19.980629
Ušće,7200696,43.46549,20.624302
Užice,7200208,43.853447,19.839695
Užice teretna,7215151,43.846733,19.858383
Valjevo,7200014,44.2706,19.907227
Velika Plana,7200116,44.325157,21.082598
Veljkovo,7200386,44.128426,22.604118
Vitanovac,7200691,43.727043,20.801605
Vitkovac,7200431,43.791443,20.790466
Vitkovac,7200690,43.59084,21.55237
Vladimirovac,7200657,45.03144,20.892744
Vlajkovac,7200673,45.066486,21.211466
Vlaole,7200326,44.2573,22.002308
Vlaole Selo,7200362,44.270576,21.980787
Vlaško Polje,7215407,44.48058,20.660349
Vraneši,7200849,43.68403,20.805485
Vratarnica,7214019,43.798904,22.30299
Vražogrnac,7200343,43.953663,22.32441
Vrba,7212214,43.690487,20.78449
Vrbas Nova,7200119,45.5544,19.629
Vreoci,7200530,44.44897,20.279459
Vrnjačka Banja,7200744,43.639023,20.925993
Vrtište,7200440,43.375137,21.808517
Vršac,7200001,45.10574,21.283173
Vukov spomenik,7200265,44.805153,20.477638
Zablaće,7200750,43.844,20.447668
Zagrađe,7200128,44.033768,22.213839
Zaječar,7200342,43.904987,22.272894
Zavod,7200714,44.00855,20.913994
Zemun,7200251,44.83671,20.3718
Zemunsko polje,7200252,44.857773,20.334692
Zlakusa,7200561,43.806236,19.953794
Zlatibor,7200123,43.735043,19.614357
Zmajevo,7200820,45.45995,19.673567
Zrenjanin,7200630,45.378036,20.378983
Zrenjanin fabrika,7222501,45.371243,20.426125
Zvornik,7200216,44.400303,19.1216
Ćićevac,7200391,43.72043,21.438116
Ćuprija,7200091,43.91629,21.365362
Čačak,7200751,43.88998,20.356165
Čitluk,7212218,43.590687,21.269938
Čoka,7200633,45.94297,20.135529
Čokonjar,7200244,44.016037,22.35228
